dataset,seed,outer_fold,pool_size,alternative_selector,candidate_changed_vs_roc,delta_outer_roc_auc_vs_roc_selector,delta_outer_pr_auc_vs_roc_selector,delta_outer_minority_recall_vs_roc_selector,delta_outer_balanced_recall_vs_roc_selector
clintox,71,1,8,pr_auc,1,-0.05779143536875497,-0.015117811501143497,-0.07692307692307698,-0.04619349722442512
clintox,71,1,16,pr_auc,1,-0.05779143536875497,-0.015117811501143497,-0.07692307692307698,-0.04619349722442512
clintox,71,1,32,pr_auc,1,-0.06998413957176841,-0.05618742282862116,-0.038461538461538436,-0.07722045995241877
clintox,71,2,4,pr_auc,0,0.0,0.0,0.0,0.0
clintox,71,2,8,pr_auc,0,0.0,0.0,0.0,0.0
clintox,71,2,16,pr_auc,1,-0.01009429400386852,-0.003958183185160669,0.0,-0.051136363636363535
clintox,71,2,32,pr_auc,1,0.004956479690522153,0.0652571960642418,0.0851063829787233,-0.021840747904577684
clintox,71,3,4,pr_auc,0,0.0,0.0,0.0,0.0
clintox,71,3,8,pr_auc,1,-0.035596777853415085,0.03466461531190401,-0.02564102564102566,0.01262196505559332
clintox,71,3,16,pr_auc,1,-0.004935330156569218,0.05622229206315282,-0.02564102564102566,0.01594054912638987
clintox,71,3,32,pr_auc,1,-0.004935330156569218,0.05622229206315282,-0.02564102564102566,0.01594054912638987
clintox,83,1,4,pr_auc,0,0.0,0.0,0.0,0.0
